Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
58868,BLADENBORO FARM,SOLAR PHOTOVOLTAIC,0,0,0,700 FORREST DRIVE,BLADENBORO,NC,28320,USA,34.53388787,-78.81307501,SOLAR,SOLAR,SOLAR
58871,BERKLEY EAST SOLAR LLC,SOLAR PHOTOVOLTAIC,0,0,0,2 MYRICKS STREET,BERKLEY,MA,2779,USA,41.82400321,-71.04103208,SOLAR,SOLAR,SOLAR
58872,BISON 4 WIND ENERGY CENTER,ONSHORE WIND TURBINE,0,0,0,5198 30TH ST.,NEW SALEM,ND,58563,USA,46.97387051,-101.5320886,WIND,WIND,WIND
58873,STUYVESANT FALLS,CONVENTIONAL HYDROELECTRIC,0,0,0,27 COUNTY ROUTE 25A,STUYVESANT,NY,12173,USA,42.35241812,-73.7345374,HYDRO,HYDRO,HYDRO
58874,DEMENT FARM LLC,SOLAR PHOTOVOLTAIC,0,0,0,5859 S. NC 39 HWY.,HENDERSON,NC,27536,USA,36.27073084,-78.34840015,SOLAR,SOLAR,SOLAR
58875,FREDERICK-CARROLL COUNTY RENEWABLE WASTE,MUNICIPAL SOLID WASTE,0,0,0,4549 METROPOLITAN COURT,FREDERICK,MD,21701,USA,39.359167,-77.415278,MSW,MSW,MSW
58876,FUSION SOLAR CENTER LLC,SOLAR PHOTOVOLTAIC,0,0,0,130 INLAND ROAD,BALTIC,CT,6330,USA,41.62364154,-72.04330346,SOLAR,SOLAR,SOLAR
58877,KINSLEY LANDFILL SOLAR,SOLAR PHOTOVOLTAIC,0,0,0,2025 DELSEA DRIVE,SEWELL,NJ,8080,USA,39.793333,-75.106389,SOLAR,SOLAR,SOLAR
58879,DUPLIN SOLAR LLC,SOLAR PHOTOVOLTAIC,0,0,0,181 REVELLE RD,WARSAW,NC,28398,USA,35.01040994,-78.08251968,SOLAR,SOLAR,SOLAR
58880,NORTH CAROLINA SOLAR III LLC,SOLAR PHOTOVOLTAIC,0,0,0,8621 GIBSON RD,GIBSON,NC,28343,USA,34.76845513,-79.55538682,SOLAR,SOLAR,SOLAR
58881,COUNTY COLLEGE OF MORRIS,SOLAR PHOTOVOLTAIC,0,0,0,214 CENTER GROVE RD,RANDOLPH,NJ,7869,USA,40.85994114,-74.57984711,SOLAR,SOLAR,SOLAR
58882,MERCER COUNTY COMMUNITY COLLEGE,SOLAR PHOTOVOLTAIC,0,0,0,1200 OLD TRENTON RD,WEST WINDSOR,NJ,8550,USA,40.25549036,-74.64506861,SOLAR,SOLAR,SOLAR
58883,HIGHLAND WIND PROJECT (IA),ONSHORE WIND TURBINE,0,0,0,3948 STARLING AVE,PRIMGHAR,IA,51245,USA,43.05029679,-95.67689797,WIND,WIND,WIND
58884,LUNDGREN WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,OTHO,IA,50569,USA,42.37695743,-94.12314265,WIND,WIND,WIND
58885,MACKSBURG WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,MACKSBURG,IA,50155,USA,41.2093526,-94.10353962,WIND,WIND,WIND
58886,WELLSBURG WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,15087 205TH ST.,WELLSBURG,IA,50680,USA,42.38023964,-92.91343608,WIND,WIND,WIND
58887,COM ADAM 1WF-1,ONSHORE WIND TURBINE,0,0,0,1973 TOWER RD,SUBLETTE,IL,61367,USA,41.660278,-89.249722,WIND,WIND,WIND
58891,"BIG TURTLE WIND FARM, LLC",ONSHORE WIND TURBINE,0,0,0,1717 N. MINDEN ROAD,HARBOR BEACH,MI,48441,USA,43.84921973,-82.78601208,WIND,WIND,WIND
58892,CAMILLA SOLAR PLANT,SOLAR PHOTOVOLTAIC,0,0,0,3010 MOUNT ZION CHURCH ROAD,PELHAM,GA,31779,USA,31.18510253,-84.1315157,SOLAR,SOLAR,SOLAR
58893,CAMP SOLAR PLANT,SOLAR PHOTOVOLTAIC,0,0,0,1763 RIVER COVE ROAD,WOODBURY,GA,30293,USA,32.96450785,-84.54448387,SOLAR,SOLAR,SOLAR
58896,PATRIOTS STADIUM,SOLAR PHOTOVOLTAIC,0,0,0,860 EAST MAIN ST,BRIDGEWATER,NJ,8807,USA,40.560556,-74.551389,SOLAR,SOLAR,SOLAR
58897,TEMPLE SEGF,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,13600,0,1820-60 N 10TH STREET,PHILADELPHIA,PA,19122,USA,39.98022843,-75.15076539,GAS,GAS,FOSSIL
58898,PILOT HILL WIND FARM,ONSHORE WIND TURBINE,0,0,0,8753 WEST 7000 SOUTH ROAD,HERSCHER,IL,60941,USA,41.00075134,-88.05079803,WIND,WIND,WIND
58900,BALKO WIND LLC,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,BALKO,OK,73931,USA,36.52250559,-100.8446284,WIND,WIND,WIND
58902,KINGFISHER WIND LLC,ONSHORE WIND TURBINE,0,0,0,NOT AVAILABLE,KINGFISHER,OK,73750,USA,35.77156291,-97.79642645,WIND,WIND,WIND
